"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 17 01:25:58 GMT 2023","Fri Feb 17 01:25:58 GMT 2023","4","","setTableMapHexKeys","","setTableMapHexKeys","updates the table map to use hexadecimal keys based on the index of the table in the table map","updates the table map to use hexadecimal keys based on the index of the table in the table map",""
"passed","Fri Feb 17 01:25:54 GMT 2023","Fri Feb 17 01:25:54 GMT 2023","0","","Converting array of notes into a LSDJ chord hex","","Converting array of notes into a LSDJ chord hex","Pads a two note chord with the base note","Pads a two note chord with the base note",""
"passed","Fri Feb 17 01:25:54 GMT 2023","Fri Feb 17 01:25:54 GMT 2023","0","","Converting array of notes into a LSDJ chord hex","","Converting array of notes into a LSDJ chord hex","Only returns a hex value for three note chords","Only returns a hex value for three note chords",""
"passed","Fri Feb 17 01:25:54 GMT 2023","Fri Feb 17 01:25:54 GMT 2023","1","","Getting command for note at tick","","Getting command for note at tick","Returns chord command if more than one note at note tick","Returns chord command if more than one note at note tick","Set command for notes based on if there is a track event at that tick"
"passed","Fri Feb 17 01:25:54 GMT 2023","Fri Feb 17 01:25:54 GMT 2023","1","","getPhrasesNotesAsBase64","","getPhrasesNotesAsBase64","converts the list of notes and commands into a base64 string","converts the list of notes and commands into a base64 string",""
"passed","Fri Feb 17 01:25:54 GMT 2023","Fri Feb 17 01:25:54 GMT 2023","0","","Converting MIDI Tempo BPM to LSDJ Tempo Hex value","","Converting MIDI Tempo BPM to LSDJ Tempo Hex value","Returns hex value of 27 for BPM higher than 295","Returns hex value of 27 for BPM higher than 295","Set Tempo Hex value based on LSDJ's BPM rules"
"passed","Fri Feb 17 01:25:55 GMT 2023","Fri Feb 17 01:25:55 GMT 2023","1","","getTableArray","","getTableArray","creates an array of table objects from the table map","creates an array of table objects from the table map","Creates a LSDJ table for triplet/sextuplets if a note has tuplets"
"passed","Fri Feb 17 01:25:55 GMT 2023","Fri Feb 17 01:25:55 GMT 2023","3","","getDeltaAsHex","","getDeltaAsHex","returns a positive delta as that delta added to 0 in hex","returns a positive delta as that delta added to 0 in hex","Creates hexadecimal value for transpose used in LSDJ table"
"passed","Fri Feb 17 01:25:54 GMT 2023","Fri Feb 17 01:25:54 GMT 2023","0","","Getting command for note at tick","","Getting command for note at tick","Returns empty string if no events happen at note tick","Returns empty string if no events happen at note tick","Set command for notes based on if there is a track event at that tick"
"passed","Fri Feb 17 01:25:54 GMT 2023","Fri Feb 17 01:25:54 GMT 2023","0","","Setting chord command for notes that have more than one note and no higher priority commands","","Setting chord command for notes that have more than one note and no higher priority commands","Returns an empty command when one note and no higher priority commands","Returns an empty command when one note and no higher priority commands",""
"passed","Fri Feb 17 01:25:54 GMT 2023","Fri Feb 17 01:25:54 GMT 2023","0","","Setting tempo command for a note that falls on a tempo change","","Setting tempo command for a note that falls on a tempo change","Doesn't set a tempo command for note if the note index is 0 as this is the song's initial tempo","Doesn't set a tempo command for note if the note index is 0 as this is the song's initial tempo","Set Tempo Command on notes that have tempo change at that tick"
"passed","Fri Feb 17 01:25:54 GMT 2023","Fri Feb 17 01:25:54 GMT 2023","1","","getPhrasesForSection","","getPhrasesForSection","creates an array of phrases for a 12/8 time signature","creates an array of phrases for a 12/8 time signature",""
"passed","Fri Feb 17 01:25:57 GMT 2023","Fri Feb 17 01:25:57 GMT 2023","4","","setPhraseHexKeys","","setPhraseHexKeys","updates the phrase key with the hexadecimal index of the phrase in the phrase map","updates the phrase key with the hexadecimal index of the phrase in the phrase map",""
"passed","Fri Feb 17 01:25:54 GMT 2023","Fri Feb 17 01:25:54 GMT 2023","0","","Converting array of notes into a LSDJ chord hex","","Converting array of notes into a LSDJ chord hex","Caps chord range at 15 semitones (F in hex)","Caps chord range at 15 semitones (F in hex)",""
"passed","Fri Feb 17 01:25:54 GMT 2023","Fri Feb 17 01:25:54 GMT 2023","5","","getPhrasesForTrack","","getPhrasesForTrack","creates an array of LSDJ phrases for a track","creates an array of LSDJ phrases for a track",""
"passed","Fri Feb 17 01:25:54 GMT 2023","Fri Feb 17 01:25:54 GMT 2023","0","","Setting tempo command for a note that falls on a tempo change","","Setting tempo command for a note that falls on a tempo change","Doesn't set a tempo command for note when there isn't a tempo change at that tick","Doesn't set a tempo command for note when there isn't a tempo change at that tick","Set Tempo Command on notes that have tempo change at that tick"
"passed","Fri Feb 17 01:25:56 GMT 2023","Fri Feb 17 01:25:56 GMT 2023","3","","Getting absolute notes for track","","Getting absolute notes for track","returns a key/value pair for notes at each 16th note in the track","returns a key/value pair for notes at each 16th note in the track",""
"passed","Fri Feb 17 01:25:55 GMT 2023","Fri Feb 17 01:25:55 GMT 2023","1","","getChainsAsMap","","getChainsAsMap","creates key value pair based on the base64 hash of the phrases in a chain","creates key value pair based on the base64 hash of the phrases in a chain",""
"passed","Fri Feb 17 01:25:54 GMT 2023","Fri Feb 17 01:25:54 GMT 2023","2","","Setting chord command for notes that have more than one note and no higher priority commands","","Setting chord command for notes that have more than one note and no higher priority commands","Returns a chord command when there is more than one note and no higher priority commands","Returns a chord command when there is more than one note and no higher priority commands",""
"passed","Fri Feb 17 01:25:55 GMT 2023","Fri Feb 17 01:25:55 GMT 2023","3","","getTrackChains","","getTrackChains","creates an array of chains from the list of phrases","creates an array of chains from the list of phrases",""
"passed","Fri Feb 17 01:25:55 GMT 2023","Fri Feb 17 01:25:55 GMT 2023","4","","processPhrases","","processPhrases","Removes duplicate phrases and updates the chain map to point duplicates to the first instance","Removes duplicate phrases and updates the chain map to point duplicates to the first instance",""
"passed","Fri Feb 17 01:25:54 GMT 2023","Fri Feb 17 01:25:54 GMT 2023","0","","Converting MIDI Tempo BPM to LSDJ Tempo Hex value","","Converting MIDI Tempo BPM to LSDJ Tempo Hex value","Returns hex value for BPM falling between 256-295 range ${bpm}","Returns hex value for BPM falling between 256-295 range ${bpm}","Set Tempo Hex value based on LSDJ's BPM rules"
"passed","Fri Feb 17 01:25:56 GMT 2023","Fri Feb 17 01:25:56 GMT 2023","5","","processTables","","processTables","Creates a table array for triplets in the track phrases and sets the commands on the phrases","Creates a table array for triplets in the track phrases and sets the commands on the phrases",""
"passed","Fri Feb 17 01:25:55 GMT 2023","Fri Feb 17 01:25:55 GMT 2023","0","","getDeltaAsHex","","getDeltaAsHex","returns a negative delta as that delta subtracted from 256 in hex","returns a negative delta as that delta subtracted from 256 in hex","Creates hexadecimal value for transpose used in LSDJ table"
"passed","Fri Feb 17 01:25:56 GMT 2023","Fri Feb 17 01:25:56 GMT 2023","4","","setPhraseNoteTableId","","setPhraseNoteTableId","sets the Phrase note table id based on the note delta values in the triplets","sets the Phrase note table id based on the note delta values in the triplets",""
"passed","Fri Feb 17 01:25:54 GMT 2023","Fri Feb 17 01:25:54 GMT 2023","1","","Converting MIDI Tempo BPM to LSDJ Tempo Hex value","","Converting MIDI Tempo BPM to LSDJ Tempo Hex value","Returns hex value of 28 for BPM lower than 40","Returns hex value of 28 for BPM lower than 40","Set Tempo Hex value based on LSDJ's BPM rules"
"passed","Fri Feb 17 01:25:57 GMT 2023","Fri Feb 17 01:25:57 GMT 2023","4","","dedupePhrases","","dedupePhrases","uses the phrase map to build up an array of phrases and uses the hexadecimal value of the index for the key","uses the phrase map to build up an array of phrases and uses the hexadecimal value of the index for the key","Remove duplicate phrases from the phrase list and replace with pointer to existing phrase to save space and time inputting notes"
"passed","Fri Feb 17 01:25:54 GMT 2023","Fri Feb 17 01:25:54 GMT 2023","5","","Setting tempo command for a note that falls on a tempo change","","Setting tempo command for a note that falls on a tempo change","Sets tempo command for note when there's a tempo change at that tick","Sets tempo command for note when there's a tempo change at that tick","Set Tempo Command on notes that have tempo change at that tick"
"passed","Fri Feb 17 01:25:55 GMT 2023","Fri Feb 17 01:25:55 GMT 2023","0","","getTableSteps","","getTableSteps","returns an empty array if no triplet/sextuplets found","returns an empty array if no triplet/sextuplets found","Doesn't create a table when not needed"
"passed","Fri Feb 17 01:25:54 GMT 2023","Fri Feb 17 01:25:54 GMT 2023","1","","getPhrasesForSection","","getPhrasesForSection","creates an array of phrases for a 4/4 time signature","creates an array of phrases for a 4/4 time signature",""
"passed","Fri Feb 17 01:25:56 GMT 2023","Fri Feb 17 01:25:56 GMT 2023","1","","setPhraseNoteTableId","","setPhraseNoteTableId","Doesn't set the phrase note table id if a kill note command is already set","Doesn't set the phrase note table id if a kill note command is already set",""
"passed","Fri Feb 17 01:25:58 GMT 2023","Fri Feb 17 01:25:58 GMT 2023","4","","getPhraseAsMap","","getPhraseAsMap","creates a key value pair based on the base64 hash of notes in the phrase","creates a key value pair based on the base64 hash of notes in the phrase","Create a map of phrases so can reduce list down to unique phrases"
"passed","Fri Feb 17 01:25:58 GMT 2023","Fri Feb 17 01:25:58 GMT 2023","2","","getTripletKey","","getTripletKey","creates a base64 version of the notes in the triplet as a string","creates a base64 version of the notes in the triplet as a string",""
"passed","Fri Feb 17 01:25:55 GMT 2023","Fri Feb 17 01:25:55 GMT 2023","2","","getChainKey","","getChainKey","creates a base64 string from the list of phrase keys in the chain","creates a base64 string from the list of phrase keys in the chain",""
"passed","Fri Feb 17 01:25:57 GMT 2023","Fri Feb 17 01:25:57 GMT 2023","1","","getTablesForPhraseTriplets","","getTablesForPhraseTriplets","does not add an entry if no triplets in track","does not add an entry if no triplets in track","Creates a map of tables for triplets/sextuplets across phrases in track"
"passed","Fri Feb 17 01:25:54 GMT 2023","Fri Feb 17 01:25:54 GMT 2023","1","","getPhrasesForSection","","getPhrasesForSection","creates an array of phrases for a 6/8 time signature","creates an array of phrases for a 6/8 time signature",""
"passed","Fri Feb 17 01:25:54 GMT 2023","Fri Feb 17 01:25:54 GMT 2023","0","","Setting chord command for notes that have more than one note and no higher priority commands","","Setting chord command for notes that have more than one note and no higher priority commands","Returns ${commandName} command when set","Returns ${commandName} command when set",""
"passed","Fri Feb 17 01:25:55 GMT 2023","Fri Feb 17 01:25:55 GMT 2023","1","","getTableSteps","","getTableSteps","converts a sextuplet (3 notes) into a note every 4 steps","converts a sextuplet (3 notes) into a note every 4 steps","Creates LSDJ table steps for sextuplet"
"passed","Fri Feb 17 01:25:56 GMT 2023","Fri Feb 17 01:25:56 GMT 2023","4","","setChainHexKeys","","setChainHexKeys","Updates the chains with a hexadecimal value representing the index in the chain map","Updates the chains with a hexadecimal value representing the index in the chain map",""
"passed","Fri Feb 17 01:25:54 GMT 2023","Fri Feb 17 01:25:54 GMT 2023","0","","calculateTripletDelta","","calculateTripletDelta","compensates for the freq chart starting at F - ${name}","compensates for the freq chart starting at F - ${name}",""
"passed","Fri Feb 17 01:25:58 GMT 2023","Fri Feb 17 01:25:58 GMT 2023","5","","processChains","","processChains","Creates an array of the chains in the track","Creates an array of the chains in the track",""
